Model,K,Precision,Recall,Hit_Rate
Bundle-based,5,0.23116817084021865,0.1336174774681043,0.6595430278378035
Co-purchase,5,0.24253209609762294,0.1421530072163233,0.6819626287021736
Combined,5,0.24242404982839713,0.14207793323460308,0.681708402186348
Bundle-based,10,0.1692814923096479,0.1829615633611346,0.7532572772340155
Co-purchase,10,0.18655777297572138,0.20858844649662178,0.794632642684632
Combined,10,0.18644337104359987,0.20845981272482186,0.7944896402694801
Bundle-based,20,0.12430008262361765,0.2502228623960056,0.8314637091648659
Co-purchase,20,0.13555198932248638,0.2873003746665037,0.8679293250286004
Combined,20,0.1354765158256006,0.2871887668689831,0.8677863226134486
